"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="1666470684428100498",="1666470684426100498","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022091022001168941411389652","0.00","0.00","没有申请退款","无退款申请","2022-09-10 07:40:08","2022-09-10 07:40:14"
="2879400711118133849",="2879400711117133849","【99价】SERUMKIND韩国水润收缩毛孔控油金木瓜毛孔精华液30ml","269.00","1","8809525247455","null","null","null","交易成功","8809525247455",="2022091022001185931410817777","183.71","183.71","没有申请退款","无退款申请","2022-09-10 07:38:36","2022-09-10 07:38:41"
="2879400711119133849",="2879400711117133849","【99价】SERUMKIND韩国阳光葡萄清颜精华液30ml","269.00","1","8809754820689","null","null","null","交易成功","8809754820689",="2022091022001185931410817777","183.72","183.72","没有申请退款","无退款申请","2022-09-10 07:38:36","2022-09-10 07:38:41"
="2879400711120133849",="2879400711117133849","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022091022001185931410817777","0.00","0.00","没有申请退款","无退款申请","2022-09-10 07:38:36","2022-09-10 07:38:41"
="2879400711121133849",="2879400711117133849","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易成功","8809754820887",="2022091022001185931410817777","0.00","0.00","没有申请退款","无退款申请","2022-09-10 07:38:36","2022-09-10 07:38:41"
="2879400711122133849",="2879400711117133849","【赠品专用】SUREBASE烁贝思粉扑2件装","20.00","1","null","null","null","null","交易成功","null",="2022091022001185931410817777","0.00","0.00","没有申请退款","无退款申请","2022-09-10 07:38:36","2022-09-10 07:38:41"
="2877862644909612850",="2877862644908612850","【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","139.00","2","null","null","null","null","交易成功","null",="2022091022001182631452015303","169.10","169.10","没有申请退款","无退款申请","2022-09-10 07:37:30","2022-09-10 07:39:38"
="2877862644910612850",="2877862644908612850","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022091022001182631452015303","0.00","0.00","没有申请退款","无退款申请","2022-09-10 07:37:30","2022-09-10 07:39:38"
="2877862644911612850",="2877862644908612850","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易成功","8809754820887",="2022091022001182631452015303","0.00","0.00","没有申请退款","无退款申请","2022-09-10 07:37:30","2022-09-10 07:39:38"
="2877862644912612850",="2877862644908612850","【赠品专用】SUREBASE烁贝思粉扑2件装","20.00","1","null","null","null","null","交易成功","null",="2022091022001182631452015303","0.00","0.00","没有申请退款","无退款申请","2022-09-10 07:37:30","2022-09-10 07:39:38"
="1667179995448189689",="1667179995447189689","【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","139.00","1","null","null","null","null","交易成功","null",="2022091022001127091453588250","88.81","88.81","没有申请退款","无退款申请","2022-09-10 07:13:38","2022-09-10 07:13:44"
="1667179995449189689",="1667179995447189689","【99价】SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装)","259.00","1","null","颜色分类：N1 SINCERE SARA;净含量：13ml","null","null","交易成功","null",="2022091022001127091453588250","178.39","178.39","没有申请退款","无退款申请","2022-09-10 07:13:38","2022-09-10 07:13:44"
="1667179995450189689",="1667179995447189689","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022091022001127091453588250","0.00","0.00","没有申请退款","无退款申请","2022-09-10 07:13:38","2022-09-10 07:13:44"
="1667179995451189689",="1667179995447189689","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易成功","8809754820887",="2022091022001127091453588250","0.00","0.00","没有申请退款","无退款申请","2022-09-10 07:13:38","2022-09-10 07:13:44"
="1667179995452189689",="1667179995447189689","【赠品专用】SUREBASE烁贝思粉扑2件装","20.00","1","null","null","null","null","交易成功","null",="2022091022001127091453588250","0.00","0.00","没有申请退款","无退款申请","2022-09-10 07:13:38","2022-09-10 07:13:44"
="2879101586553893400",="2879101586552893400","【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","139.00","1","null","null","null","null","交易成功","null",="2022091022001130181402913924","104.00","104.00","没有申请退款","无退款申请","2022-09-10 07:12:58","2022-09-10 07:13:02"
="2879101586554893400",="2879101586552893400","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022091022001130181402913924","0.00","0.00","没有申请退款","无退款申请","2022-09-10 07:12:58","2022-09-10 07:13:02"
="1667167394223123975",="1667167394222123975","【99价】SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装)","259.00","1","null","颜色分类：N2 BRIGHT BONNIE;净含量：13ml","null","null","交易关闭","null",="2022091022001155291406380842","192.54","192.54","退款成功","192.54","2022-09-10 06:53:16","2022-09-10 06:55:10"
="1667167394224123975",="1667167394222123975","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易关闭","null",="2022091022001155291406380842","0.00","0.00","退款成功","0.00","2022-09-10 06:53:16","2022-09-10 06:55:10"
="1667131862902671186",="1667131862901671186","【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","139.00","1","null","null","null","null","交易成功","null",="2022091022001188381431619110","91.41","91.41","没有申请退款","无退款申请","2022-09-10 01:11:04","2022-09-10 01:11:10"
="1667131862903671186",="1667131862901671186","【99价】SERUMKIND韩国保湿滋润修护手部肌肤屏障黑郁金香护手精华50ml","169.00","2","8809525248018","净含量：50ml","null","null","交易成功","8809525248018",="2022091022001188381431619110","228.89","228.89","没有申请退款","无退款申请","2022-09-10 01:11:04","2022-09-10 01:11:10"
